title,field
"Discomfort to Comfort, Coconut oil can Reduce Menstrual Pain!",Chemistry
What the Language You Tweet Says About Your Occupation,Computer Science
Correction: Properties of halogenated and sulfonated porphyrins relevant for the selection of photosensitizers in anticancer and antimicrobial therapies,Medicine
Pomegranate Peel Extract Is a Potential Alternative Therapeutic for Giardiasis,Agricultural and Biological Sciences
START-UPS AND INTERNATIONALISATION: THE CASE OF ROMANIA. PART 1. THEORETICAL OVERVIEW,"Business, Management and Accounting"
250 A case of aggressive systemic mastocytosis with erythroderma showing response to midostaurin,Immunology and Microbiology
Betulinic Acid Ameliorates the Severity of Acute Pancreatitis via Inhibition of the NF-κB Signaling Pathway in Mice,Medicine
Segmentation for Lumbar Spinal Stenosis Using Convolutional Neural Networks,Engineering
MTT Proliferation Assay,Veterinary
Shear capacity prediction of stiffened steel plate shear walls (SSPSW) with openings using response surface method,Engineering
Current Status and Future of Traumatic Brain Injury Treatment in Japan,Medicine
Short-Term Cryptocurrency Price Fluctuation Prediction Framework Using Machine Learning,Computer Science
THC volume 35 issue 4 Cover and Front matter,
Factor Structure of the Pittsburgh Sleep Quality Index among Women Undergoing Infertility Treatment: A Confirmatory Factor Analysis,Psychology
The Experiences of Medical Students and Junior Doctors with Dyslexia: A Survey Study,Health Professions
KAZAKHSTAN AND CHINA IN THE CONTEXT OF ECONOMIC OIL AND GAS COOPERATION,Energy
Livestock and Livelihoods in Urban Niger,Nursing
How Organizational Learning Is Supported by Performance Management Systems: Evidence from a Longitudinal Case Study,"Business, Management and Accounting"
Impact of COVID-19 lockdown on glycemic control in type 1 diabetes,Medicine
Human dimensions of gain and loss of plant species diversity surrounding oil palm plantations,Environmental Science
FREQUENCY OF PERIPHERAL NERVE INJURIES IN ATHLETES OF CERTAIN SPORTS CLUBS IN THE CITY OF ZADAR,Engineering
Positive well-being and usefulness of brief mindfulness-based intervention for pain in cancer,Psychology
A Nodal/Eph signalling relay drives the transition from apical constriction to apico-basal shortening in ascidian endoderm invagination,"Biochemistry, Genetics and Molecular Biology"
Pengaruh Literasi Keuangan dan Pengendalian Diri terhadap Perilaku Konsumtif Mahasiswa,"Business, Management and Accounting"
The performance of an atomically dispersed oxygen reduction catalyst prepared by γ-CD-MOF integration with FePc,Energy
Large variations of crustal thickness across the Taiwan orogeny constrained by Moho-refraction recorded by the Formosa Array,Earth and Planetary Sciences
On Some Issues Concerning the Prevention of Youth Terrorism and Extremism that Local Self-Government Authorities are Facing,Social Sciences
Minimal invasive fixation following with radiotherapy for radiosensitive unstable metastatic spine,Medicine
The impact of erythropoiesis-stimulating agents administration concomitantly with adjuvant anti-HER2 treatments on the outcomes of patients with early breast cancer: a sub-analysis of the ALTTO study,Medicine
NK3R Mediates the EGF-Induced SLα Secretion and mRNA Expression in Grass Carp Pituitary,Medicine
Calophyllum inophyllum (Alexandrian laurel),Agricultural and Biological Sciences
Prevalence of diabetic foot ulcers and assessment of foot care knowledge and practice among patients attending diabetic clinic of a tertiary hospital of eastern India,Medicine
Formation of the avifauna of the Zaryadye Park (Moscow) in 2018-2022,Environmental Science
The main directions in the process of studying the principles of settlement and localization of small and medium-sized settlements on the territory of the Middle Ob region.,Agricultural and Biological Sciences
Singular Cauchy problem for the general Euler-Poisson-Darboux equation,Mathematics
Optical generation of current and magnetic field in dynamic electrotechnical complexes,Physics and Astronomy
S865 The Impact of Clinical Remission on Healthcare Resource Utilization Among Patients With Moderate to Severe Crohn´s Disease and Ulcerative Colitis,"Biochemistry, Genetics and Molecular Biology"
Links between Land Cover and In-Water Optical Properties in Four Optically Contrasting Swedish Bays,Earth and Planetary Sciences
On oscillation of second-order noncanonical neutral differential equations,Mathematics
The changes in therapeutic and managerial protocols for patients suffering ST-segment elevation myocardial infarction in COVID-19 pandemic; a systematic review and meta-analysis,Medicine
Percutaneous thrombin injection under contrast-enhanced ultrasound guidance to control active extravasation not associated with pseudoaneurysm,Medicine
Don’t get stuck in the mud: keep climbing for a better view of sport and exercise medicine,Medicine
"Fish assemblages in three fringed mangrove bays of Santa Cruz Island, Galapagos Marine Reserve",Environmental Science
Retinal pigment epithelium-specific CLIC4 mutant is a mouse model of dry age-related macular degeneration,Medicine
3D Patient Specific Models Enhance Surgeon’s Understanding of Preoperative Anatomy in Liver Tumors,Engineering
Foreign Historiography of the Soviet BAM: Thematic Dominants and Main Narratives,Social Sciences
Bactrocera xanthodes (Pacific fruit fly),Agricultural and Biological Sciences
Severe Acute Malnutrition with Anemia and Vitamin Deficiency in Hospitalized Children: Two Centres Cross Sectional Study,Nursing
Adapting school siting to school choice and compact city policies,Social Sciences
Big Data Analytics for Flexible Energy Sharing: Accelerating a Low-Carbon Future,Engineering
"Antiferromagnetism in semiconducting<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msub><mml:mi>SrMn</mml:mi><mml:mn>2</mml:mn></mml:msub><mml:msub><mml:mi>Sb</mml:mi><mml:mn>2</mml:mn></mml:msub></mml:mrow></mml:math>and<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msub><mml:mi>BaMn</mml:mi><mml:mn>2</mml:mn></mml:msub><mml:msub><mml:mi>Sb</mml:mi><mml:mn>2</mml:mn></mml:msub></mml:mrow></mml:math>single crystals",Materials Science
Basal cell carcinoma within rhinophyma: coincidence or relationship?,Medicine
ARCHAEAN AND PALEOPROTEROZOIC OROGENS OF THE FENNOSCANDIAN SHIELD: COMPARATIVE ANALYSIS OF ARCHITECTURE AND CRUSTAL EVOLUTION,Earth and Planetary Sciences
THE IMPACT OF FOREIGN TRADE TURNOVER AND EXPORT-IMPORT ON THE ECONOMY OF GEORGIA,"Economics, Econometrics and Finance"
MODEL PENERAPAN AKUNTANSI SEKTOR PUBLIK UNTUK MENCEGAH FRAUD PADA SEKTOR PUBLIK DI ERA DIGITAL,"Business, Management and Accounting"
On simultaneous confidence interval estimation for the difference of paired mean vectors in high-dimensional settings,Mathematics
Acute Effect of Resistance Exercise on Serum Cortisol and its Correlation to Blood Glucose in Healthy Non Obese Adults: A Pilot Study,Medicine
Interpreting electroweak precision data including the W-mass CDF anomaly,Physics and Astronomy
Robotic Drilling of Aluminum Alloy,Engineering
The Distribution and Turnover of Bacterial Communities in the Root Zone of Seven Stipa Species Across an Arid and Semi-arid Steppe,Environmental Science
Future-proofing the Cenozoic macroperforate planktonic foraminifera phylogeny of Aze &amp; others (2011),Earth and Planetary Sciences
Reducing human‐induced vibration of cross‐laminated timber floor—Application of multi‐tuned mass damper system,Engineering
A mini-review on the recent advancement of electrospun MOF-derived nanofibers for energy storage,Materials Science
Probing the Phytochemical Composition and Antioxidant Activity of Moringa oleifera under Ideal Germination Conditions,Agricultural and Biological Sciences
A Descriptive Analysis of Children’s Nutritional Status and its Associated Factors in Bangladesh: Insights from Demographic and Health Survey Data,Nursing
Optimal Cost–Quality Trade-Off Model for Differentiating Presale Housing Quality Strategies,"Economics, Econometrics and Finance"
Enhancing Verb Writing Skills in Eighth-Grade Students with Flashcards: A Classroom Action Research in Indonesia,Computer Science
4 HIV Status and Cannabis Use: A Rigorous Examination of Between Group Differences in Neurocognitive Functioning,Medicine
"Relationship between sea surface temperature and the nesting of the Olive Ridley sea turtle Lepidochelys olivacea (Testudines: Cheloniidae) in Gorgona Island, Colombian Pacific",Environmental Science
Freedom and Fairness in Retirement Villages: An Analysis of the Regulatory Framework,Social Sciences
PRE-SERVICE SCIENCE TEACHERS’ E-LEARNING STYLES,Social Sciences
"Monitoring and Evaluation Practices and Sustainability of Education Project in Rwanda; A Case of University of Rwanda-Sweden Program for Research, Higher Education, and Institutional Advancement",Social Sciences
Implicit and explicit learning in talker identification,Psychology
The Biology and Function of Extracellular Vesicles in Cancer Development,"Biochemistry, Genetics and Molecular Biology"
Gong dan Mantra sebagai Simbol Komunikasi bagi Masyarakat Dayak Kalimantan Barat,Social Sciences
"A safe, reliable, and efficient robot-assisted port site closure for robot-assisted gastrectomy",Medicine
A Japanese Approach to Stages of Capitalist Development,Social Sciences
Comparing Boil and Bite with Customized Mouthguard Based on Subjective Experience of Boxers - A Pilot Study,Health Professions
Faber polynomial coefficients for certain subclasses of analytic and biunivalent functions,Mathematics
Migration Processes in the Trans-Dniester Region of the Republic of Moldova and Their Impact on the Socio-Economic Situation,Environmental Science
Differences in the expression profiles of lncRNAs and mRNAs in partially injured anterior cruciate ligament and medial collateral ligament of rabbits,"Biochemistry, Genetics and Molecular Biology"
Patent Foramen Ovale and Cryptogenic Stroke: Challenges in Diagnosis and Management,Medicine
Corrigendum to “Degradation of bisphenol S by peroxymonosulfate activation through monodispersed CoFe2O4 nanoparticles anchored on natural palygorskite” [Sep. Purif. Technol. 277 (2021) 119492],Engineering
Systemic Discrimination Among Large U.S. Employers,Social Sciences
Reform and Regulate the Telecommunications Services Sector in Algeria,"Economics, Econometrics and Finance"
"609O Results from a phase I study of AMG 160, a half-life extended (HLE), PSMA-targeted, bispecific T-cell engager (BiTE®) immune therapy for metastatic castration-resistant prostate cancer (mCRPC)",Medicine
Noninvasive follicular thyroid neoplasm with papillary‐like nuclear features (NIFTP) in thyroid tumor classification,Medicine
"Plant foods, stone tools and food preparation in prehistoric Europe: An integrative approach in the context of ERC funded project PLANTCULT",Earth and Planetary Sciences
National Trends and Factors Associated With Inpatient Mortality in Adult Patients With Opioid Overdose,Medicine
Retracted: Data Mining‐Based Analysis of Modern Chinese Medicine for the Treatment of Stable Angina Pectoris in Coronary Heart Disease,Medicine
Incentivizing Equity? The Effects of Performance-Based Funding on Race-Based Gaps in College Completion,Social Sciences
Analysis of the Effect of a Gyrotropic Anisotropy on the Phase Constant and Characteristic Impedance of a Shielded Microstrip Line,Engineering
Константин Великий и св. Елена на фресках Яна Кубена в Воздвиженском костеле в Бжеге,Arts and Humanities
Prenatal Lipopolysaccharides Exposure Induces Transgenerational Inheritance of Hypertension,Medicine
Author Correction: Structural and functional studies on Pseudomonas aeruginosa DspI: implications for its role in DSF biosynthesis,"Biochemistry, Genetics and Molecular Biology"
Anti-Varicella Zoster Virus IgG and hsCRP Levels Correlate with Progression of Coronary Artery Atherosclerosis,Medicine
Toward Functional Synthetic Cells: In‐Depth Study of Nanoparticle and Enzyme Diffusion through a Cross‐Linked Polymersome Membrane,Engineering
Fabrication of voltage-gated spin Hall nano-oscillators,Physics and Astronomy
INSTITUSIONALISASI HOME SCHOOLING DI INDONESIA: IMPLIKASI TERHADAP PENGEMBANGAN KURIKULUM PENDIDIKAN ISLAM DI EL-DINA HOME SCHOOLING CENTRE,Social Sciences
Performans reproduksi induk babi yang di pelihara secara Tradisional di Kelurahan Kambajawa Kabupaten Sumba Timur,Agricultural and Biological Sciences
P-733 Implementing preconception expanded carrier screening in a universal healthcare system: insights from a cost-effectiveness analysis,Medicine
Designer patterned functional fibers via direct imprinting in thermal drawing,Engineering
"Utilization of <i>Flipbook Maker</i> - Based Teaching Materials in Prose, Poetry and Drama Teaching Courses",Computer Science
"Transition to retirement impact on risk of depression and suicidality: results from a longitudinal analysis of the Survey of Health, Ageing and Retirement in Europe (SHARE)",Social Sciences
New and Improved Constructions for Partially Equivocable Public Key Encryption,Computer Science
Helen Salisbury: Where the buck stops,Health Professions
PENGARUH PERKUATAN TIANG TERHADAP STABILITAS TIMBUNAN DIATAS TANAH LUNAK MENGGUNAKAN METODE ELEMEN HINGGA,Engineering
Abnormal Intrinsic Functional Hubs in Relapsing- Remitting Multiple Sclerosis: Evidence from a Voxel-Wise Degree Centrality Analysis,Neuroscience
Cell morphology observations for discriminating between &lt;i&gt;Brettanomyces bruxellensis&lt;/i&gt; strains among genetic groups,"Biochemistry, Genetics and Molecular Biology"
Impact Damage Resistance and Post-Impact Tolerance of Optimum Banana-Pseudo-Stem-Fiber-Reinforced Epoxy Sandwich Structures,Materials Science
Coronavirus infection recovery in 101-years-old female patient,Medicine
"Observations of American Badgers, Taxidea taxus (Schreber, 1777)&amp;nbsp;(Mammalia, Carnivora), in a restored tallgrass prairie in Illinois,&amp;nbsp;USA, with a new county record of successful reproduction",Environmental Science
Meningkatkan Minat Mengenal Konsep Bilangan Melalui Metode Bermain Alat Manipulatif,Mathematics
Emerging and multifaceted role of neutrophils in lung cancer,Immunology and Microbiology
A Case Report of Embryonal Botryoid Rhabdomyosarcoma of the Uterine Cervix in a 26- Year-Old Woman,Medicine
Exact solutions of fractional mBBM equation and coupled system of fractional Boussinesq-Burgers,Mathematics
The Map and the Territory: Mapping the Territory Regulated by Serotonergic Signaling at Striatal Projection Neurons,Neuroscience
Taxonomic and functional alterations in the salivary microbiota of children with and without severe early childhood caries (S-ECC) at the age of 3,Dentistry
A meta-analytical review of the responses in the MMPI-2/MMPI-2-RF clinical and restructured scales of parents in child custody dispute,Psychology
THE PROSE GENRE PALETTE OF IVAN NECHUJ-LEVYCZKYJ,Environmental Science
The Effectiveness of Math Educational Software on Creativity and Academic Achievement,Mathematics
"Numerical methodology for determining the soil mass surface slump, caused by the tunnel construction with the geodetic monitoring results comparison",Engineering
Experimental Study on the Curing Mechanism of Red Mud-Based Stabilized Soil Co-Modified by Nano-SiO2 and Gypsum,Engineering
Author Correction: Platelet‑rich plasma (PRP) in osteoarthritis (OA) knee: Correct dose critical for long term clinical efficacy,Medicine
Effect of Freezing and Thawing on Chloride Ion Erosion of Fiber Concrete,Engineering
HIRING AND RETAINING SKILLED EMPLOYEES IN SMES: PROBLEMS IN HUMAN RESOURCE PRACTICES AND LINKS WITH ORGANIZATIONAL SUCCESS,"Economics, Econometrics and Finance"
Myco-Synthesized Selenium Nanoparticles as Wound Healing and Antibacterial Agent: An In Vitro and In Vivo Investigation,Materials Science
Strontium Isotope Systematics of Tenerife Wines (Canary Islands): Tracing Provenance in Ocean Island Terroir,Environmental Science
A Hybrid Metaheuristic Optimization Approach for the Synthesis of Operating Procedures for Optimal Drum-Boiler Startups,Engineering
M2 middle cerebral artery dissection on 7T MRI,Medicine
Correction to: Factors associated with self-rated health in a Norwegian population of older people participating in a preventive home visit program: a cross-sectional study,Social Sciences
Lessons from COVID‐19,Social Sciences
Train detection methods as the foundation of positioning systems of railroad traffic control,Computer Science
Combined effect of sedentary behavior and physical activity of different intensity on cardiovascular health,Medicine
Solid-Contact Potentiometric Sensors Based on Main-Tailored Bio-Mimics for Trace Detection of Harmine Hallucinogen in Urine Specimens,Chemical Engineering
Non-blasting technology in mining the rock massif by using milling combines in the iron ore open pits,Engineering
Tenofovir Cons the Kidneys: A Case of Acquired Fanconi,Medicine
Protein nanocondensates: the next frontier,"Biochemistry, Genetics and Molecular Biology"
The Usefulness of Regulatory Capital for Investors’ Judgments in the Basel 3 Framework,"Business, Management and Accounting"
Nitrogen-Fertilized Systems of Maize Intercropped With Tropical Grasses for Enhanced Yields and Estimated Land Use and Meat Production,Agricultural and Biological Sciences
Carbonaceous and water-soluble inorganic aerosols over a semi-arid location in north west India: Seasonal variations and source characteristics,Earth and Planetary Sciences
Design and development of a nozzle-free electrospinning device for the high-throughput production of biomaterial nanofibers,Materials Science
The Role of Somatic Mutations in Acute Myeloid Leukemia Pathogenesis,Medicine
More than a Feeling: Accuracy and Application of Sentiment Analysis,Computer Science
Construction of Tetrahydroquinolines with Spirocyclic Structures at the 4-Position,Chemistry
,
"Structure of the correlation coefficients <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>S</mml:mi><mml:mo>(</mml:mo><mml:msub><mml:mi>E</mml:mi><mml:mi>e</mml:mi></mml:msub><mml:mo>)</mml:mo></mml:mrow></mml:math> and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>U</mml:mi><mml:mo>(</mml:mo><mml:msub><mml:mi>E</mml:mi><mml:mi>e</mml:mi></mml:msub><mml:mo>)</mml:mo></mml:mrow></mml:math> of the neutron <mml:math xmlns:mml=""http://www.w3.…",Physics and Astronomy
Overcoming wealth inequality by capital taxes that finance public investment,"Economics, Econometrics and Finance"
A study of Kurt Lewin’s leadership styles and group dynamics in developing responsibility and performance among engineering students,Psychology
"Characterisation of STEC and other diarrheic E. coli isolated on CHROMagar™STEC at a tertiary referral hospital, Cape Town","Biochemistry, Genetics and Molecular Biology"
Analysis of Latent Heat Thermal Energy Storage System Using Phase Change Material,Engineering
Towards a New Monetary Theory of Exchange Rate Determination,"Economics, Econometrics and Finance"
Antiferromagnet thickness dependence and rotatable spins in exchange biased CoO/Fe films,Physics and Astronomy
Analysis of different failure criteria to evaluate bauxite tailings mechanical behavior through numerical modelling,Engineering
THE ROLE OF WORK STRESS IN MEDIATING THE EFFECT OF PERFORMANCE PRESSURE AND WORKLOAD ON EMPLOYEE PERFORMANCE IN UNIVERSITAS MUHAMMADIYAH ACEH,Social Sciences
Information based similarity analysis of oxygen saturation recordings to detect Pulmonary hypertension in preterm infants,Medicine
Spatio-temporal dynamics of bluefin tuna (Thunnus thynnus) in US waters of the northwest Atlantic,Environmental Science
Syntax Acquisition in Early Childhood Through Flash-Cards,Computer Science
Sustainable Treatment of Food Industry Wastewater Using Membrane Technology: A Short Review,Environmental Science
"Review of Admissions to Local Division, Mersey Care NHS Foundation Trust Between June 2017-June 2022",Health Professions
Exploring the Role of Caffeine Use in Adult-ADHD Symptom Severity of US Army Soldiers,Medicine
The impact of type 1 diabetes mellitus on male sexual functions and sex hormone levels,Medicine
A New Wave of Industrialization of PHA Biopolyesters,Materials Science
Towards a PWFA linear collider — opportunities and challenges,Engineering
Diffraction and Reflection of Antiplane Shear Waves in a Cracked Couple Stress Elastic Material,Materials Science
Genetic determination in endometriosis,Medicine
FOXO3 targets are reprogrammed as Huntington's disease neural cells and striatal neurons face senescence with p16<sup>INK4a</sup> increase,"Biochemistry, Genetics and Molecular Biology"
Pollinators and pollination effects on three canola (Brassica napus L.) cultivars: A case study in Upper Egypt,Agricultural and Biological Sciences
Harnessing brain development to understand brain tumours,Medicine
The outcome of loop electrosurgical excision procedure following treatment of cervical intra-epithelial neoplasia 2 and 3,Medicine
Emergence potential of mosquito-borne arboviruses from the Florida Everglades,Medicine
How To Tell Head From Tail in User-Generated Content Corpora,Computer Science
A critical evaluation of EFSA’s environmental risk assessment of genetically modified maize MON810 for honeybees and earthworms,Agricultural and Biological Sciences
The Immune Microenvironment of Malignant Pleural Mesothelioma: A Literature Review,Medicine
Pengaruh Aktivitas Bisnis Terhadap Nilai Perusahaan,"Business, Management and Accounting"
Toward Successful Integration of Climate Immigrants: Lessons Learned from the Good Practice of the City of Vienna,Social Sciences
Patient Factors Influencing Outpatient Retention in Patients with Affective and Anxiety Disorders: A Retrospective Study,Medicine
Performance Study of a Supersonic Swirl Separator,Earth and Planetary Sciences
GPS availability and positioning issues when the signal paths are aligned with ionospheric plasma bubbles,Engineering
Scalable surrogate deconvolution for identification of partially-observable systems and brain modeling,Neuroscience
Optimization of ultrasound-assisted extraction (UAE) of phenolic compounds from olive cake,Chemistry
"Differential gene expression analysis of ankylosing spondylitis shows deregulation of the HLA-DRB, HLA-DQB, ITM2A, and CTLA4 genes",Medicine
Triple Pelvic Osteotomy and Autograft to the Gap of Ischium for the Treatment of Pelvic Canal Narrowing in a Cat,Veterinary
An Optimal Control Strategy Separating Two Species of Microalgae in Photobioreactors,Energy
Direct measurements of thermal transport in glass and ceramic microspheres embedded in an epoxy matrix,Materials Science
Introduction of Machine Perfusion in Donor Hearts,Medicine
Đề xuất phương pháp khử nhiễu tín hiệu rung phục vụ cho việc chẩn đoán lỗi của động cơ,Environmental Science
Preface for Special Issue on Biopsy in Urogenital Radiology,Medicine
,
YZiCS: Preprocessing of Dark Halos in the Hydrodynamic Zoom-in Simulation of Clusters,Physics and Astronomy
Influence of climatic conditions on infection of sunflower lines by phoma black stem,Agricultural and Biological Sciences
State Policy Regimes and Associational Roles in Technology Development: A Tale of Two Metropolises,"Economics, Econometrics and Finance"
Pelaksanaan Penghapusan Perdagangan Perempuan dan Anak Di Kabupaten Bintan,Social Sciences
Fabrication of a microfluidic chip based on the pure polypropylene material,Engineering
Nutritional status and lung transplantation: an intriguing problem,Medicine
Medicinal Plants in Semi-Natural Grasslands: Impact of Management,Environmental Science
Retraction Note to: Estimation of contact forces of underactuated robotic finger using soft computing methods,Engineering
Pediatric intravascular access in simulated COVID-19 patients among paramedics wearing personal protective equipment,Medicine
Differential cardiovascular responses to cutaneous afferent subtypes in a nociceptive intersegmental spinal reflex,Medicine
Relevant biological interactions biomimicked by capillary electromigration techniques,"Biochemistry, Genetics and Molecular Biology"
Analysis of embassy areas of disaster and disaster mitigation efforts in pesawaran lampung district,Environmental Science
Neutrino-electron elastic scattering for flux determination at the DUNE oscillation experiment,Physics and Astronomy
The Effects of Live Feeding on Swimming Activity and Exhibit Use in Zoo Humboldt Penguins (Spheniscus humboldti),Agricultural and Biological Sciences
Elimination of PCR duplicates in RNA-seq and small RNA-seq using unique molecular identifiers,"Biochemistry, Genetics and Molecular Biology"
Descriptive and multivariate analysis of the pig sector in Georgia and its implications for disease transmission,Agricultural and Biological Sciences
Reaction: Industrial Perspective on Single-Atom Catalysis,Materials Science
Quantifying splice-site usage: a simple yet powerful approach to analyze splicing,"Biochemistry, Genetics and Molecular Biology"
Detection of DNA Microsatellites Using Multiplex Polymerase Chain Reaction Aboard the International Space Station,Medicine
The Legal Regulation of Sadomasochism and the So-Called 'Rough Sex Defence',Psychology
Circuit: A JavaScript Memory Heap-Based Approach for Precisely Detecting Cryptojacking Websites,Computer Science
“I Don’t Feel like an Adult”—Self-Perception of Delayed Transition to Adulthood in NEET Sample,Social Sciences
"Patient satisfaction about services obtained from a teaching hospital, Port Blair: A cross-sectional study",Health Professions
Marriage According to Syaikhona Kholil Bangkalan in the Perspective of Islamic Educational Values,Social Sciences
CASE REPORT OF BILATERAL ACETABULAR FRACTURE COMBINED WITH FRACTURE OF LEFT FEMORAL NECK IN ELDERLY FEMALEPATIENT,Medicine
Influence of FACTS Device Implementation on Performance of Distribution Network with Integrated Renewable Energy Sources,Engineering
"Cost-Effectiveness of Trastuzumab With or Without Chemotherapy as Adjuvant Therapy in HER2-Positive Elderly Breast Cancer Patients: A Randomized, Open-Label Clinical Trial, the RESPECT Trial",Medicine
Комунікативні проблеми дистанційного викладання дисциплін у медичних ЗВО,
Fundamental limits to depth imaging with single-photon detector array sensors,Physics and Astronomy
Periodontal health in children with diabetes mellitus type 1 in Montenegro,Dentistry
"Effect of Nursing Intervention on Knowledge of Diabetes Mellitus among Pregnant Women Attending Selected General Hospitals in Lagos, Nigeria",Medicine
Environmental Literacy Levels of Nursing Students: A Descriptive Study,Environmental Science
Kajian teknis dan ekonomis pembuatan produk sampan komposit sandwich,"Business, Management and Accounting"
Solution of tetrahedron equation and cluster algebras,Mathematics
Adquirir habilidades no manejo de crises de hipertermia maligna: comparação de simulação de alta‐fidelidade versus estudo de caso em computador,Medicine
Burnout among nurses at a tertiary care hospital of South India,Psychology
An Analysis of the Relationship between Land Use and Weekend Travel: Focusing on the Internal Capture of Trips,Social Sciences
Extracting chemical–protein interactions from literature using sentence structure analysis and feature engineering,"Biochemistry, Genetics and Molecular Biology"
Correction of the shape effect on magnetic entropy change in ball milled Fe70Zr30 alloys,Materials Science
Frontispiece: Pore “Softening” and Emergence of Breathability Effects of New Keplerate Nano‐Containers,Materials Science
Solid-state electrochemical redox control of the optoelectronic properties for SrFeO<i>x</i> thin films,Materials Science
Evidence for Early Comprehension of Action Verbs,Arts and Humanities
The Karen Chemical Dependency Collaboration: Lessons Learned in Using a Collaborative Framework to Promote Refugee Integration,Psychology
Modification blanching process of potato flour using hydrogen rich water,Agricultural and Biological Sciences
"Customer Perceived Value in B2C Service Industries: A Higher-order, Formative Factor Structure","Business, Management and Accounting"
Compact ultra‐wideband FSS optimised through fast and accurate hybrid bio‐inspired multiobjective technique,Engineering
Characteristics of Malay translated hadith corpus,Computer Science
Diastereoselective formation of homochiral flexible perylene bisimide cyclophanes and their hybrids with fullerenes,Chemistry
Breast Cancer Risk in Postmenopausal Women with Medical History of Thyroid Disorder in the Women's Health Initiative,Medicine
Performance of TGSE BLADE DWI compared with RESOLVE DWI in the diagnosis of cholesteatoma,Medicine
Character description in John Webster‘s “The Duchess of Malfi”,Arts and Humanities
Molecular cartography of residue pesticides on grape surface in 3D by ambient ionization tandem mass spectrometry,Agricultural and Biological Sciences
"Pregnant Women’s Perceptions of the Quality of Antenatal Care in a Public Hospital in Punjab, Pakistan during COVID-19: A Cross-Sectional Study",Medicine
The predictive role of marital satisfaction on the parental agreement,Psychology
"Dairy product prices, 2001-2031",Agricultural and Biological Sciences
How to desire control,Social Sciences
Dollar beta and stock returns,"Economics, Econometrics and Finance"
The influence of sectional volleyball classes on the physical preparedness of students of higher education institutions,Health Professions
Inefficient mapping: the ethical wayfinding potential of drawing while walking,Social Sciences
Pemberdayaan Masyarakat Melalui Pengelolaan Limbah Cangkang Telur Ayam Menjadi Pupuk Organik Di Desa Gitik Kecamatan Rogojampi Kabupaten Banyuwangi,Environmental Science
Neurofilament Proteins as Biomarkers to Monitor Neurological Diseases and the Efficacy of Therapies,Medicine
Estimating some physiological parameters in the blood of Tilapia zillii fingerlings during adaptation to different salinities,Environmental Science
Pengaruh Penerapan E-Filing Terhadap Tingkat Kepatuhan Wajib Pajak,Social Sciences
Membrane lipid polyunsaturation mediated by <i><scp>FATTY ACID DESATURASE</scp> 2</i> (<i><scp>FAD</scp>2</i>) is involved in endoplasmic reticulum stress tolerance in <i>Arabidopsis thaliana</i>,"Biochemistry, Genetics and Molecular Biology"
Strong Coupling of Folded Phonons with Plasmons in 6H-SiC Micro/Nanocrystals,Engineering
"Whole Genome Sequencing,<i>de Novo</i>Assembly and Phenotypic Profiling for the New Budding Yeast Species<i>Saccharomyces jurei</i>",Agricultural and Biological Sciences
Relationships Between Lithospheric Structures and Rifting in the East African Rift System: A Rayleigh Wave Tomography Study,Earth and Planetary Sciences
TMS for peripartum depression: a meta-analytical study to explore a functional DLPFC target,Medicine
Motives and social actor positioning: the representation of the Chilean student movement in the national press,Social Sciences
Chronic diarrhea associated with trichuriasis in a 2‐year‐old boy,Immunology and Microbiology
Sex-based differences in metabolic protection by the ANP genetic variant rs5068 in the general population,Medicine
Efektivitas Penggunaan Metode Karyawisata dalam Proses Pembelajaran Kurikulum 2013,Computer Science
Rooster Colony Algorithm: A two-step Multi-Swarm Optimization Approach,Computer Science
Modular biosynthesis of plant hemicellulose and its impact on yeast cells,Agricultural and Biological Sciences
Assessing the impact of recombination on the estimation of isolation-with-migration models using genomic data: a simulation study,"Biochemistry, Genetics and Molecular Biology"
DIAGNOSTICS OF MICROCIRCULATION DISTURBANCES IN CRITICAL CONDITIONS IN PATIENTS WITH ACUTE CEREMONIAL CIRCULATION DISORDER AND SEVERE CRANIO-BRAIN INJURY,Neuroscience
On the Electrification of Winter Season in Cold Climate Megacities—The Case of New York City,Engineering
Molecular and Biological Characterization of Novel and Known Family <i>Secoviridae</i> Members Infecting Lettuce,Agricultural and Biological Sciences
Job insecurity and parental well-being: The role of parenthood and family factors,Health Professions
NEW PERSPECTIVES IN APPLYING THE MULTISENSOR PASSIVE ACOUSTIC TECHNIQUE FOR LOGGING OIL AND GAS WELLS,Engineering
Nonsense Suppression Therapy: An Emerging Treatment for Hereditary Skin Diseases,"Biochemistry, Genetics and Molecular Biology"
Design of Efficient Complex Gate using 45nm Technology,Computer Science
Telemedicine review in neuro-oncology: comparative experiential analysis for Barrow Neurological Institute and Geisinger Health during the 2020 COVID-19 pandemic,Medicine
Rationality of the Locus of Singularities of the General Gough--Stewart Platform,Engineering
"Ieva Réklaytité (ed.), Water in the Medieval Hispanic Society. Economic, Social and Religions Implications, Academia Scientiarum Fennica, Helsinki 2019 (284 p.)",Arts and Humanities
